s/d,stress(rol=0),dilation(rol=0),rotation(rol=0),stress(rol=0.0025),dilation(rol=0.0025),rotation(rol=0.0025),stress(rol=0.1),dilation(rol=0.1),rotation(rol=0.1)
0.756593,10.613152,0.198887,6955.52,9.887792,0.198631,970.621,21.638348,0.198383,212.393
0.759186,9.526189,0.198807,6975.69,10.222075,0.198593,974.838,21.086936,0.198162,213.311
0.76177975,8.430278,0.198582,6995.64,10.139922,0.198463,979.074,20.216764,0.197842,214.487
0.7646595,6.914142,0.198231,7017.6,9.987829,0.198177,983.307,19.162731,0.197609,215.207
0.76721625,6.249033,0.197937,7037.1,9.5929,0.197975,986.604,17.837927,0.197456,215.876
0.76947475,6.153141,0.19772,7054.29,9.086219,0.19754,989.737,16.719462,0.197296,216.429
0.77196375,6.282753,0.197453,7073.3,8.140738,0.19717,994.184,15.669603,0.197071,217.171
0.77444575,6.493394,0.197079,7092.05,7.142677,0.1968,999.21,15.096782,0.196827,217.875
0.777253,5.82435,0.196583,7113.04,6.257249,0.196472,1005.29,14.902878,0.196369,218.738
0.77982925,4.933083,0.196117,7132.43,5.488897,0.196098,1010.97,14.389632,0.195904,219.801
0.78211675,4.492683,0.195686,7150.39,4.910863,0.195698,1015.11,13.960756,0.195423,220.667
0.7846795,3.757815,0.195198,7170.65,4.213658,0.195251,1019.96,14.243193,0.194847,221.519
0.78722275,3.252239,0.194679,7190.92,3.234185,0.194653,1023.96,13.715122,0.194309,222.308
0.790042,2.439853,0.194134,7214.25,2.892805,0.194069,1027.68,12.725714,0.193748,223.033
0.792588,1.90107,0.193474,7235.79,3.223924,0.193401,1031.47,11.800038,0.19315,223.708
0.794912,1.031264,0.192829,7254.34,3.365396,0.192772,1035.38,11.056498,0.192554,224.311
0.79748875,0.132754,0.192093,7274.51,2.698645,0.191967,1040.4,10.206842,0.191925,224.951
0.80004325,-0.508388,0.191368,7294.14,1.8329,0.191219,1045.85,9.300356,0.191147,225.804
0.80284425,-1.106545,0.19051,7316.12,0.229654,0.190304,1051.08,8.761107,0.190262,227.059
