xCoord,yCoord,zCoord,Deformation
10.3591,-23.1074,99.8042,-0.0043236
-8.31238,24.88,87.7247,-0.0435963
-23.3252,14.0227,53.6479,-0.0034548
-16.0378,21.6973,43.8585,-0.0587404
-8.15766,25.1865,3.22265,0.153372
-0.977309,-27.4193,46.0159,0.0818357
-12.9398,21.7654,100.665,0.00118268
20.2189,18.0948,68.2967,0.137156
26.8387,2.60304,24.0534,-0.043196
-20.5338,14.2945,103.073,0.0235616
-11.6776,-22.4672,97.5822,0.000715137
0.867263,27.6816,40.6922,0.0418577
16.529,-20.6942,66.466,0.084229
-22.4968,-15.9026,15.2972,0.093348
3.06627,-27.0754,14.9127,0.0205764
17.7454,-19.7993,79.8365,0.0252688
26.7775,8.61946,8.16031,-0.000203133
6.38264,-25.8689,6.33373,0.00208139
-27.9492,0.640116,38.8473,0.0248652
24.0719,-10.8576,89.0157,-0.0343821
27.2993,-8.07276,73.0479,0.0878036
3.58985,-27.0338,45.2147,0.0987866
19.9904,18.0052,17.2362,-0.0441227
10.2046,21.6526,103.506,0.0295253
-15.5415,-22.524,52.225,0.0664902
27.4788,3.50209,30.4674,-0.0254593
-26.9767,0.473732,29.6948,0.00042367
19.9751,18.4348,48.0704,0.109509
20.5761,18.9039,52.9962,0.0238655
1.30366,27.2308,60.0625,0.0723333
-27.2207,-3.50604,44.5725,0.0756786
22.3905,-17.5731,65.157,0.0589771
-25.3097,-11.632,85.1603,-0.00531185
-5.84151,-25.8494,24.7153,-0.0377458
-21.6605,12.9394,-2.8387,0.00421798
26.6399,4.40515,3.21539,-0.0763834
1.7262,-25.2604,99.6223,-0.00129652
19.5099,-16.3856,4.44676,0.0713426
27.6831,-8.34738,78.5104,0.0596173
-19.0031,19.0474,5.07035,0.0613508
-9.94072,24.1201,7.83658,0.0212541
27.9353,1.0063,46.6378,-0.0515125
-16.678,-21.37,76.0824,-0.105981
24.7765,10.8419,63.0065,0.0846083
-27.2638,-5.09312,90.4794,0.03394
-7.65167,-24.1446,-6.90224,-0.0128255
-26.5755,4.02461,83.9642,0.0964351
-2.15856,-25.2059,96.5452,-0.0061419
19.0811,15.8745,103.636,-0.0474631
-3.73529,25.5887,19.0455,0.0359259
16.7219,20.9457,9.0038,-0.0624009
20.985,16.9731,31.2835,0.0466619
22.4275,-17.5414,64.2491,0.0480545
