Time(s),Extension(mm),ThinMembraneLoad(N),ThickMembraneLoad(N)
34.9,34.90012,5.65661,16.36607
35,35.00006,5.67709,16.38811
35.1,35.10006,5.70017,16.41963
35.2,35.2,5.6855,16.44719
35.3,35.30006,5.70451,16.48613
35.4,35.40006,5.72737,16.4955
35.5,35.49999,5.73215,16.52847
35.6,35.6,5.75159,16.55434
35.7,35.69999,5.75856,16.58131
35.8,35.80006,5.77096,16.61093
35.9,35.89993,5.79879,16.62733
36,35.99999,5.77816,16.66309
36.1,36.10006,5.80461,16.67599
36.2,36.20006,5.80681,16.71446
36.3,36.30006,5.81834,16.73696
36.4,36.40006,5.83692,16.75659
36.5,36.50006,5.83476,16.78268
36.6,36.60006,5.86053,16.79748
36.7,36.70012,5.86971,16.8272
36.8,36.79999,5.88067,16.8585
36.9,36.90006,5.88955,16.8695
37,37.00006,5.89036,16.89888
37.1,37.10006,5.9069,16.92145
37.2,37.20006,5.92197,16.94902
37.3,37.3,5.92587,16.96572
37.4,37.39993,5.93085,16.98475
37.5,37.49999,5.94322,17.01052
37.6,37.6,5.9408,17.03951
37.7,37.69999,5.97715,17.04636
37.8,37.8,5.88453,17.07927
37.9,37.90012,5.91656,17.08411
38,38.00006,5.9277,17.10467
38.1,38.09999,5.94963,17.13112
38.2,38.19993,5.97238,17.1368
38.3,38.30012,5.97792,17.16262
38.4,38.40006,5.98917,17.1869
38.5,38.5,6.00507,17.19368
38.6,38.59999,6.00915,17.21584
38.7,38.7,6.03199,17.22712
38.8,38.80006,6.03733,17.25323
38.9,38.90006,6.03883,17.27399
39,38.99999,6.05006,17.27327
39.1,39.10006,6.06019,17.30804
39.2,39.20006,6.07433,17.32326
39.3,39.30006,6.0918,17.34133
39.4,39.39993,6.09335,17.36472
39.5,39.50006,6.1084,17.36479
39.6,39.60012,6.06321,17.40742
39.7,39.70012,6.08946,17.41437
39.8,39.8,6.11231,17.43515
39.9,39.89993,6.11188,17.45847
40,40.00005,6.12579,17.47037
40.1,40.10005,6.14586,17.49894
40.2,40.20006,6.15578,17.50876
40.3,40.29999,6.16042,17.52184
40.4,40.4,6.16622,17.55261
40.5,40.50006,6.13294,17.57071
40.6,40.60006,6.14432,17.58307
40.7,40.69999,6.15214,17.60955
40.8,40.79993,6.17706,17.6066
40.9,40.89999,6.18079,17.64618
41,40.99999,6.19526,17.65054
41.1,41.10005,6.21304,17.6704
41.2,41.19993,6.21385,17.6897
41.3,41.30012,6.23477,17.70001
41.4,41.40012,6.23889,17.72532
41.5,41.50006,6.24983,17.73963
41.6,41.59999,6.27154,17.75404
41.7,41.69999,6.26407,17.77254
41.8,41.80012,6.28074,17.79419
41.9,41.90006,6.29497,17.80676
42,42.00005,6.28668,17.82922
42.1,42.10006,6.31126,17.83552
42.2,42.20006,6.31429,17.86773
42.3,42.30006,6.32126,17.88115
42.4,42.39999,6.33384,17.88486
42.5,42.49993,6.333,17.91487
42.6,42.60006,6.35608,17.92425
